MARUTI SUZUKI,,,,,,,,,,,,,,,,,,,
,S.No,Parent Company / Group,Model Name,Variant / Trim Name,,,,,,,,,,,,,,,
,1,Tata Group,Tiago,XE / XM / XT / XZ / XZ+,Tornado Blue,Supernova Copper,Ocena Blue,Arizona Blue,Daytona Grey,Pristine White,,,,,,,,,
,2,Tata Group,Altroz,XE / XM / XZ / XZ+,Dune Glow,Ember Glow,Royal Blue,Pure Grey,Pristine White,,,,,,,,,,
,3,Tata Group,Punch,FE / ET / X / XZ / XZ+,Pristine White,Bengal Rouge,Daytona Grey,Coorg Clouds,Cyantafic Blue,Caramel,Pristine White With Black roof,Daytona Grey With Black roof,Coorg Clouds With Black roof,Caramel With Black roof,Bengal Rouge With White roof,Bengal Rouge With White roof,,,
,4,Tata Group,Nexon,XE / XM / XZ / XZ+ / Dark Edition,Pure Grey,Pure Grey,Pristine White,Daytona Grey with White Roof,Daytona Grey with Black Roof,Carbon Black,Grassland Beige,Royale Blue,Grassland Beige with Black roof,Pure Grey with Black roof,Royal Blue with Black roof,Ocean Blue,Ocean Blue with White Roof,,
,5,Tata Group,Harrier,Pure / Smart / Adventure X etc,Seaweed Green,Daytona Grey,Fearless Red,Pure Grey,Pristine White,Nitro Crimson With Dual Tone,Sunlit Yellow With Dual Tone,Daytona Grey With Dual Tone,Fearless Red With Dual Tone,Pristine White With Dual Tone,Pure Grey With Dual Tone,Seaweed Green With Dual Tone,,,
,6,Tata Group,Safari,Smart / Pure / Adventure X / Accomplished X,Cosmic Gold,Supernova Copper,Stealth Black,Frost White,Royal Blue,Pure Grey,Daytona Grey,Carbon Black,Pure Grey With Dual Tone,Frost White With Dual Tone,Royal Blue With Dual Tone,Cosmic Gold With Dual Tone,Daytona Grey With Dual Tone,Supernova Copper With Dual Tone,
,7,Tata Group,Curvv / Curvv EV,Standard / Dark Edition,Flame Red,Pristine White,Daytona Grey,Opera Blue,Pure Grey,Gold Essence,Pristine White With Black Roof,Opera Blue With Black Roof,Flame Red With Black Roof,Gold Essence With Black Roof,Pure Grey With Black Roof,Daytona Grey with Black Roof,Glossy Carbon Black,Nitro Crimson With Black Roof,
,8,Tata Group,Tigor,XE / XM / XT / XZ etc,Meteor Bronze,Supernova Copper,Daytona Grey,Arizona Blue,Pristine White,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
HYUNDAI,,,,,,,,,,,,,,,,,,,
