3/23/2026, 1:54:03 PM	0x13F	00	0F	14	00	-	-	-	-	00	0F	0A	00	-	-	-	-
3/23/2026, 1:54:02 PM	0x3B9	00	00	00	00	2A	28	-	-	00	00	00	00	26	28	-	-
3/23/2026, 1:54:01 PM	0x13F	00	0F	27	00	-	-	-	-	00	0F	14	00	-	-	-	-
3/23/2026, 1:54:00 PM	0x7E8	03	41	04	3E	00	00	00	00	03	41	05	86	00	00	00	00
3/23/2026, 1:53:58 PM	0x13F	00	0F	33	00	-	-	-	-	00	0F	27	00	-	-	-	-
3/23/2026, 1:53:54 PM	0x3B9	00	00	00	00	26	28	-	-	00	00	00	00	2A	28	-	-
3/23/2026, 1:53:53 PM	0x13F	00	0F	68	00	-	-	-	-	00	0F	33	00	-	-	-	-
3/23/2026, 1:53:52 PM	0x7E8	06	41	01	00	07	61	00	00	03	41	04	3E	00	00	00	00
3/23/2026, 1:53:50 PM	0x13F	00	0F	54	00	-	-	-	-	00	0F	68	00	-	-	-	-
3/23/2026, 1:53:47 PM	0x13F	00	0F	3D	00	-	-	-	-	00	0F	54	00	-	-	-	-
3/23/2026, 1:53:47 PM	0x3B9	00	00	00	00	2A	28	-	-	00	00	00	00	26	28	-	-
3/23/2026, 1:53:44 PM	0x7E8	03	41	45	00	00	00	00	00	06	41	01	00	07	61	00	00
3/23/2026, 1:53:42 PM	0x13F	00	0F	5A	00	-	-	-	-	00	0F	3D	00	-	-	-	-
3/23/2026, 1:53:41 PM	0x13F	00	0F	48	00	-	-	-	-	00	0F	5A	00	-	-	-	-
3/23/2026, 1:53:39 PM	0x3B9	00	00	00	00	27	28	-	-	00	00	00	00	2A	28	-	-
3/23/2026, 1:53:37 PM	0x13F	00	0F	3E	00	-	-	-	-	00	0F	48	00	-	-	-	-
3/23/2026, 1:53:35 PM	0x13F	00	0F	38	00	-	-	-	-	00	0F	3E	00	-	-	-	-
3/23/2026, 1:53:30 PM	0x13F	00	0F	30	00	-	-	-	-	00	0F	38	00	-	-	-	-
3/23/2026, 1:53:28 PM	0x13F	00	0F	14	00	-	-	-	-	00	0F	30	00	-	-	-	-
3/23/2026, 1:53:27 PM	0x13F	00	0F	3D	00	-	-	-	-	00	0F	14	00	-	-	-	-
3/23/2026, 1:53:20 PM	0x13F	00	0F	31	00	-	-	-	-	00	0F	3D	00	-	-	-	-
3/23/2026, 1:53:18 PM	0x13F	00	0F	33	00	-	-	-	-	00	0F	31	00	-	-	-	-
3/23/2026, 1:53:17 PM	0x3B9	00	00	00	00	2A	28	-	-	00	00	00	00	27	28	-	-
3/23/2026, 1:53:14 PM	0x13F	00	0F	21	00	-	-	-	-	00	0F	33	00	-	-	-	-
3/23/2026, 1:53:11 PM	0x13F	00	0F	26	00	-	-	-	-	00	0F	21	00	-	-	-	-
3/23/2026, 1:53:10 PM	0x3B9	00	00	00	00	27	28	-	-	00	00	00	00	2A	28	-	-
3/23/2026, 1:53:08 PM	0x13F	00	0F	60	00	-	-	-	-	00	0F	26	00	-	-	-	-
3/23/2026, 1:53:05 PM	0x13F	00	0F	4F	00	-	-	-	-	00	0F	60	00	-	-	-	-
3/23/2026, 1:53:03 PM	0x3B9	00	00	00	00	29	28	-	-	00	00	00	00	27	28	-	-
3/23/2026, 1:53:01 PM	0x13F	00	0F	3F	00	-	-	-	-	00	0F	4F	00	-	-	-	-
3/23/2026, 1:52:59 PM	0x13F	00	0F	4C	00	-	-	-	-	00	0F	3F	00	-	-	-	-
